,client_id,start,step_1,step_2,step_3,confirm,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
38318,7567972,2,2,2,2,1,Control,16.0,196.0,56.5,F,2.0,59318.63,0.0,3.0
38321,7569020,10,3,2,0,0,Control,13.0,156.0,36.0,F,2.0,74170.58,0.0,3.0
38327,7570145,1,1,3,5,3,Control,27.0,333.0,66.5,F,2.0,78647.11,0.0,3.0
38330,7570418,1,1,2,2,1,Control,7.0,94.0,62.5,U,3.0,150724.11,4.0,7.0
38332,7570937,1,1,1,1,1,Control,22.0,265.0,59.5,M,2.0,52208.92999999999,3.0,6.0
38335,7571648,1,2,2,2,1,Control,4.0,56.0,24.5,U,2.0,45376.3,6.0,9.0
38336,7571855,3,3,2,1,1,Control,13.0,166.0,63.5,F,3.0,643567.5700000001,6.0,9.0
38341,7573293,5,2,1,2,0,Control,30.0,370.0,73.0,F,3.0,194942.94,2.0,5.0
38343,7573647,1,1,2,2,1,Control,21.0,263.0,53.0,F,4.0,387698.57,6.0,9.0
38345,7573990,1,1,1,1,1,Control,8.0,101.0,30.0,U,2.0,28047.58,6.0,9.0
38346,7574065,1,1,1,1,1,Control,8.0,96.0,55.5,U,2.0,283443.37,1.0,4.0
38347,7574307,3,2,2,2,2,Control,7.0,95.0,67.5,U,2.0,75140.4,6.0,9.0
38348,7574520,1,1,1,1,1,Control,4.0,59.0,17.5,U,2.0,25071.5,1.0,4.0
38350,7574598,1,1,1,1,1,Control,8.0,107.0,40.5,M,2.0,775630.0700000001,1.0,4.0
38351,7574606,1,1,1,1,1,Control,9.0,111.0,24.0,F,4.0,263570.78,1.0,4.0
38355,7574811,1,1,0,0,0,Control,9.0,119.0,21.0,M,2.0,52682.38,2.0,5.0
38356,7575007,1,1,1,1,1,Control,5.0,66.0,71.5,U,3.0,570073.02,3.0,6.0
38358,7575259,1,0,0,0,0,Control,8.0,104.0,36.0,F,2.0,27624.76,3.0,6.0
38360,7575842,1,1,1,1,1,Control,11.0,132.0,44.0,F,2.0,87667.12,0.0,3.0
38361,7576316,2,2,1,1,1,Control,14.0,176.0,73.5,F,2.0,118186.95,2.0,5.0
38365,7577463,3,3,3,3,2,Control,3.0,46.0,44.5,U,2.0,27925.52,2.0,5.0
38366,7577983,2,2,0,0,0,Control,9.0,108.0,48.0,M,3.0,36144.46,4.0,7.0
38369,7579546,2,1,1,1,1,Control,5.0,60.0,44.5,U,2.0,188389.63,6.0,9.0
38370,7579937,1,1,1,1,1,Control,28.0,338.0,52.5,M,2.0,100831.15,2.0,5.0
38371,7579947,1,2,2,2,1,Control,6.0,73.0,33.5,U,3.0,98851.61,4.0,7.0
38372,7580314,1,0,0,0,0,Control,9.0,111.0,52.0,F,2.0,1005400.25,0.0,3.0
38374,7580525,1,1,1,1,1,Control,8.0,106.0,63.5,F,2.0,127540.12,3.0,6.0
38379,7581994,1,1,2,1,1,Control,6.0,81.0,30.5,U,2.0,50071.67999999999,6.0,9.0
38380,7582115,2,1,1,1,1,Control,7.0,84.0,26.5,U,3.0,37561.72,6.0,9.0
38381,7582150,1,1,1,1,1,Control,14.0,179.0,32.0,M,3.0,61924.57,4.0,7.0
38384,7582334,1,1,2,1,1,Control,15.0,185.0,41.5,F,2.0,27167.65,3.0,6.0
